"","resp","resp_full_names","rsq","error","obs_vs_pred_GEE"
"1","lich_fr","Fruticose lichen cover","0.48","102.54","0.48"
"2","lich_fo","Foliose lichen cover","0.29","8.45","0.22"
"3","lich_m","Multiform lichen cover","-0.06","0","0.15"
"4","lich_cr","Crustose lichen cover","-0.15","0.03","0"
"5","lich_tot","Total lichen cover","0.43","160.61","0.42"
"6","drk_l4_tot","Dark (4 category) lichen cover","0.4","34.9","0.36"
"7","lgt_l4_tot","Light (4 category) lichen cover","0.41","5.23","0.44"
"8","yel_l4_tot","Yellow (4 category) lichen cover","0.46","24.47","0.47"
"9","drk_l3_tot","Dark (3 category) lichen cover","0.43","33.27","0.35"
"10","lgt_l3_tot","Light (3 category) lichen cover","0.43","50.85","0.42"
"11","drk_l2_tot","Dark (2 category) lichen cover","0.38","35.91","0.4"
"12","lgt_l2_tot","Light (2 category) lichen cover","0.44","50.11","0.42"
"13","blk_l8_tot","Black (8 category) lichen cover","0.01","0.1","0.26"
"14","brn_l8_tot","Brown (8 category) lichen cover","0.44","8.57","0.42"
"15","gry_l8_tot","Gray (8 category) lichen cover","0.33","9.84","0.4"
"16","grg_l8_tot","Gray-green (8 category) lichen cover","-0.18","0.75","0.03"
"17","grn_l8_tot","Green (8 category) lichen cover","-0.06","0.06","0.14"
"18","orn_l8_tot","Orange (8 category) lichen cover","-0.11","0","0.01"
"19","wht_l8_tot","White (8 category) lichen cover","0.39","5.36","0.35"
"20","yel_l8_tot","Yellow (8 category) lichen cover","0.43","25.83","0.43"
